title,singer,lyric,genre
Vô Cảm,"DJ TUS, TRUNG HIPS, LMT", hiện chưa có lời bài hát nào cho vô cảm do ca sĩ dj tus trung hips lmt trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Sài Gòn Rồi Ổn Thôi (Rock Version),LOV,saigon tôi hôm nay mệt một chút thôi ta nhẹ nhàng khẽ giấc yên nghỉ ngơi chờ ngày mai hân hoan vòng tay đón ấm áp miệng cười nói ríu rít như trẻ thơ hẹn gặp khi xung quanh còi xe xen tiếng rao saigon ơi chúng ta rồi ổn thôi những xa lộ nhớ dòng xe qua những phố phường nhớ người lê la những con hẻm nhớ giọng ngân nga những thứ linh tinh bình thường những miếng cơm ấm tình gần xa những tấm áo xanh tất bật tăng ca những đơn hàng chú bộ đội làm thay ta những thứ đơn sơ phi thường saigon tôi hôm nay mệt một chút thôi ta nhẹ nhàng khẽ giấc yên nghỉ ngơi chờ ngày mai hân hoan vòng tay đón ấm áp miệng cười nói ríu rít như trẻ thơ hẹn gặp khi xung quanh còi xe xen tiếng rao saigon ơi chúng ta rồi ổn thôi những gia đình cách trở trùng xa những em thơ mất mẹ lìa cha những sinh mệnh như lá rụng từng ngày qua những nỗi đau vô cùng một chút xa cho tay ta gần nhau một chút yên cho không ai còn đau hãy vững tin hãy an yên bão qua lại nắng saigon tôi hôm nay mệt một chút thôi ta nhẹ nhàng khẽ giấc yên nghỉ ngơi chờ ngày mai hân hoan vòng tay đón ấm áp miệng cười nói ríu rít như trẻ thơ hẹn gặp khi xung quanh còi xe xen tiếng rao saigon ơi chúng ta rồi ổn thôi,rock-viet
Cá Rô,The Cassette,một chiều mùa đông ông ngồi trước sông ông ngắm mây trời đợi con cá rô cắn mồi một chiều mùa xuân ông còn băn khoăn cho đến bao giờ ông mới kiếm được tình yêu một chiều mùa hạ chạy xe tay ga bỗng nghĩ trong đầu những lúc ông về già một chiều mùa thu tâm hồn lãng du ông mới hiểu rằng đây chính là thiên đường vậy mà ôi giời ôi ngày mai ông đã đi lấy vợ chẳng biết đâu mai này thế nào ông đâu cần biết một chiều mùa đông lại ngồi trước sông lại ngắm mây trời đợi con cá rô cắn mồi một chiều mùa xuân vẫn còn bâng khuâng cho đến bao giờ ông mới được yêu thương vậy mà ôi giời ôi ngày mai ông đã đi lấy vợ chẳng biết đâu mai này thế nào ông đâu cần biết một chiều mùa đông lại ngồi trước sông lại ngắm mây trời đợi con cá rô cắn mồi một chiều mùa xuân không còn bâng khuâng vì đến bây giờ ông đã già thật rồi một chiều mùa xuân không còn bâng khuâng vì đến bây giờ ông đã già thật rồi,rock-viet
Ly Cafe Không Đường,Bức Tường,một ngày mới như thói ta gặp nhau bên ly cà phê không đường ngày tháng ấy nơi phương xa quay về đây bên ly cafe không đường hôm nay sẽ trở thành ngày quá khứ khi màn đêm tan sau ánh mặt trời đón bình minh hmm hmm hmm chorus dòng người vội vã cuộc sống vẫn cứ trôi từng ngày mang đến những hy vọng bài ca anh viết dấu ấn với tháng năm ngày vinh quang đến cùng trở về bên nhau ngọn lửa ấm tan giá băng mang tình yêu đi muôn nơi xa vời dòng sông xưa nay đã trôi ra biển lớn mang theo những ánh trăng lung linh hôm nay sẽ trở thà,rock-viet
Tìm Đâu,Band Nhạc Không Chất Lượng,nói anh nghe một câu em giờ đang ở đâu và rồi anh thấy em cùng ai trao cho ai chiếc hôn nồng nàn thấy em đi bên ai ở kia anh không vui viết ra đôi ba câu tặng em nhưng hôm nay đã hết rồi tìm đâu để thấy cuộc tình đôi ta như con thuyền nhỏ cứ thế mà trôi xa anh đâu có muốn chúng ta lại vội quá cũng đâu có muốn sao em lại vội vã oh no you dont làm anh suy please dont anh phải see phá bỏ mọi thứ ngày em đi chẳng có ai đưa em về giữ mãi điều gì giữ mãi điều chi con tim giá buốt chẳng thể nói ra lời trong lòng con đường nay vắng thế và em có thấy anh không saxophone bên tai tâm trí có tên ai anh vẫn cứ ok dù chẳng có em ở hiện tại đôi ta bên nhau không được bao lâu đổi nhớ quanh anh toàn là hố sâu có cố chấp để được bên nhau vậy sau tất cả làm gì có nhau vậy nói đi vậy hứa chi nói thật nhiều rồi thất cũng thật hứa nhiều tiếng nói thì thầm thì thầm thì thầm còn bên tai yêu nhau thì thế nên ta có qua và có lại,rock-viet
Vùng Đất Linh Hồn,The Cassette, hiện chưa có lời bài hát nào cho vùng đất linh hồn do ca sĩ the cassette trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Tựa Đêm Nay,The Cassette, hiện chưa có lời bài hát nào cho tựa đêm nay do ca sĩ the cassette trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Khoảng Cách,The Cassette,mọi thứ cứ thế vấn vương như ta còn nhung nhớ cầm hết những kí ức đi qua bao mùa hối tiếc và ta đã không như ngày xưa nhìn từng cơn mưa qua mau hỏi sao thứ duy nhất ngăn hai ta là khoảng cách mà chưa bao giờ là cảm giác làm sao để quên hết từng câu nói làm chết kí ức bên nhau vì giờ cũng đã nhận ra điều gì khiến ta rời xa tìm ra những lí do để quay ngược thời gian để ta có thể yêu thêm một lần mùa sang kéo theo nỗi nhớ với bao lần mơ vài lần vô thức khi ta thầm gọi tên nhau chỉ mong mây gió ru em khoảng trời mai sau cho em giọt nắng vẫn cứ thế luôn e sợ từng giọt mưa còn tôi e sợ sẽ phải nói rằng tôi còn yêu rằng tôi yêu nữa như hôm qua ta đâu nào hay ta đang nhìn chung đám mây ở hai nơi khác nhau xin một lần thôi một lần xin lỗi em,rock-viet
Where Are You,Min Hari, hiện chưa có lời bài hát nào cho where are you do ca sĩ min hari trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Tháng 10,Bức Tường,ngày ấy giấc mơ dịu dàng thu qua lá cây úa vàng mình tôi trên con đường để những ký ức về đây cùng nhau trốn cơn mưa lạnh và ánh mắt đã rơi vào nhau bầu trời đêm nay đầy ánh sao không quên chorus tháng 10 hàng cây trút lá trong gió heo may mùa đông gọi về tháng 10 vội vàng đi qua mang những cơn mưa thời gian không phai màu ngày ấy trái tim thật thà nụ hôn đầu tiên đắm say vội vàng qua nhanh giấc mơ hoang tàn mang theo ánh trăng mơ màng thời gian cách xa vòng tay tình yêu ấy luôn ở đây bầu trời đêm nay ngời ánh sao không quên,rock-viet
Con Đường Không Tên,Bức Tường,1 gặp nhau trong đời chung một bầu trời sẻ chia cùng nhau buồn vui và ước mơ cao vời hành trang mang theo cây đàn và lời ca cùng nhau đi qua đi qua từng tháng năm diệu kỳ ta sẽ đi trên con đường không tên thời gian không đứng lại đi sẽ thành đường bình minh thênh thang chờ ngày mới sang bài ca miên man chờ mong chờ người quay về dòng sông trôi qua một thời ấu thơ cùng nhau đi qua đi qua từng tháng năm diệu kỳ ta sẽ đi trên con đường không tên thời gian không đứng lại đi sẽ thành đường chorus lời nói như mây trời theo gió bay ngàn con sóng vỗ bờ biển khơi có từng lắng nghe đời có những con đường chưa ai biết tên và ta sẽ tự hào đặt dấu chân đầu tiên 2 bình minh thênh thang chờ ngày mới sang bài ca miên man chờ mong chờ người quay về dòng sông trôi qua một thời ấu thơ cùng nhau đi qua đi qua từng tháng năm diệu kỳ ta sẽ đi trên con đường không tên thời gian không đứng lại đi sẽ thành đường,rock-viet
Lời Khó Nói,DayOff,ngày qua lại trôi thật mau đã bao lâu chẳng gặp nhau gió không buồn trôi muôn nơi khi con phố che đi mặt trời sợ em lại đi cùng ai đến nơi đâu sát kề vai có một điều là mãi mãi trong tâm trí anh luôn tồn tại lời chưa nói hay xót xa giữ trong lòng ngại một mai em với ai sẽ mặn nồng lời khó nói cũng phải nói nếu trong lòng này yêu em vội vàng một cuộc gọi vào giữa đêm ngày có em phía sau suốt con đường dài phượt khắp nơi bỏ quên hết đi hiện tại từng ánh mắt cười ngây ngô khiến anh yêu đời cứ mãi nhớ nhung từng đêm ngày vắng em nỗi cô đơn anh nhận lại là những khi anh chợt hay biết anh đã yêu thật khó nói cứ giấu trong tim vậy thôi như một thói ,rock-viet
Chân Thật,Band Nhạc Không Chất Lượng,ngỡ chuyện tình lâu dài sao ta cứ đau hoài chút ngày buồn thối nát chẳng yên bình như bấy lâu nay rằng ta sẽ ở bên nhau có thể nghĩ về người một chút tình của ta giống đóm lửa nhỏ đứng trước gió rồi lại vụt tắt ta có thể bên em tựa như là áng mây hồng làm cho em say nồng nhưng chẳng thể biết em thay lòng chắc em đang ở bên ai kia họ chỉ trao cho em thân mật còn nơi anh là tim múc nát cũng chỉ có thể trao em chân thật anh có thể kể cho em nghe về những điều anh không muốn ngoài trời kia là cơn mưa rào nhưng sao trong tim này lại đau nhói chắc cũng do anh nghĩ về em nên khiến lòng này buồn man mát anh cũng đã mở cửa tim mình nhưng ngọn gió ấy làm tim anh tan nát uhh thì cũng chả sao đau 1 chút lại thôi không có em thì vẫn thế 24h thì vẫn trôi sao anh vẫn còn suy nghĩ liệu mình có phải người cản chân anh không giỏi trong việc nói dối nhưng tại sao anh lại phải nói dối bản thân,rock-viet
Yêu,7UPPERCUTS,cho tới khi nào thì ta được chung lối về anh chỉ muốn có em bên anh trên con đường dài lê thê cùng ăn sáng nghe đài mỗi sớm mai sau khi ngáp dài là một ngày mới có em và anh anh không biết là em đã đọc một mớ tin nhắn hôm qua anh viết gửi em cái gì mà sống không có em anh không thiết là thiệt nhưng nếu em phiền thì thôi mình coi như anh bị điên anh không chắc là em đã đọc vì sáng nay mesenger không nhắc rồi quên ra đường ngồi đếm xe máy ba đồng một mớ muộn phiền ai nói anh khùng thì thôi vì anh chỉ cần được yêu không yêu không yêu yêu không yêu không yêu yêu không yêu không yêu không yêu không yêu không yêu yêu không yêu không yêu cho tới khi nào thì ta được chung lối về anh chỉ muốn có em bên anh trên con đường dài lê thê cùng ăn sáng nghe đài mỗi sớm mai sau khi ngáp dài là một ngày mới có em và anh anh không biết ngày sau đi về còn có ai đó mong chờ thang máy cùng nhau lên lầu mình có con chó con mèo băng cốc mình đi tháng 2 lần lần 2 qua chatuchak thì sao cho tới khi nào thì ta được chung lối về anh chỉ muốn có em bên anh trên con đường dài lê thê cùng ăn sáng nghe đài mỗi sớm mai sau khi ngáp dài là một ngày mới là một ngày mới là một ngày mới cho tới khi nào thì ta được chung lối về anh chỉ muốn có em bên anh trên con đường dài lê thê cùng ăn sáng nghe đài mỗi sớm mai sau khi ngáp dài là một ngày mới có em và anh là một ngày mới có ta có nhau là một ngày mới có em thì yêu không yêu không yêu yêu không yêu không yêu,rock-viet
Trông Hơi Quá Đà,Thu Vũ,sớm tối tìm anh gần anh tại sao ân cần thế chẳng có bạn thân nào thân còn hơn cả người yêu anh hơn cả người yêu anh đã cố giận anh hờn anh mà anh đâu nào hiểu chẳng biết hờn ghen thì oh no đó đâu phải yêu đâu đó đâu phải yêu đâu em thương anh yêu anh em mới ghen hãy tránh xa người yêu em ra này chị ơi buông tha đừng ngày đêm lân la em trông hơi quá đà có biết bao bạn thân chị ơi chọn fa mà chơi thoải mái đêm ngày thôi đâu ai nói năng gì,rock-viet
Có Bao Giờ,"The Meo, Freaky",tôi đã nhìn thấy em từ xa ngồi cười với ai em đã che giấu nụ cười ấy nhìn về phía tôi có bao giờ có bao giờ lòng ngừng yêu em đừng nhìn tôi nữa tôi rời đi như chưa biết điều gì nhìn về bao ngày điên cuồng cùng với em cùng với em như màu đen màu của mắt em màu của dối gian em ời có bao giờ em nghĩ trong đầu sao tối qua nhìn thấy nhau để cuộc đời khiến em và tôi mỗi người một nơi để ta lạc mất nhau này em ơi có bao giờ lòng ngừng yêu em có bao giờ lòng ngừng yêu em ta từng nhắn tin nhau không 3g cho dù muốn yêu em trông ra trò nhiều lần vắt trên vai bao lo âu như người sắt xem trong phim marvel đôi chân trốn tung tăng ta không chốn dung thân có bao giờ em muốn mình ên đi lên chốn cung trăng ban đêm đắp chung chăn lấy tay mình xây đắp tình yêu tuy biết yêu là sai nhưng vẫn cứ đâm đầu thanh xuân bao nhiêu tháng năm nào ta chừa lời ngon ngọt cho một ai khác nhưng dùng lời sắc nhọn ghim thâm tâm đau trong tình yêu em thấy mình so bad nhưng trong mắt người khác em sociu tầng thượng 30 trên đường cô bắc chill nhạc freaky cùng với soju em muốn tự do không kiểm soát đi đến chân trời rừng vàng biển bạc đường không xe em nhắm mắt tăng ga mỗi khi itunes chuyển nhạc chưa bao giờ anh muốn mình lớn tiếng tắt hết định vị như chơi trốn tìm lần cuối anh thấy em còn trang điểm là lần đầu em khóc bằng đôi mắt hồn nhiên có bao giờ em nghĩ trong đầu sao tối qua nhìn thấy nhau để cuộc đời khiến em và tôi mỗi người một nơi để ta lạc mất nhau này em ơi có bao giờ lòng ngừng yêu em có bao giờ lòng ngừng yêu em em muốn tự do không kiểm soát đi đến chân trời rừng vàng biển bạc đường không xe em nhắm mắt tăng ga mỗi khi itunes chuyển nhạc chưa bao giờ anh muốn mình lớn tiếng tắt hết định vị như chơi trốn tìm lần cuối anh thấy em còn trang điểm là lần đầu em khóc bằng đôi mắt hồn nhiên,rock-viet
Chó Sủa Người Đi,Huy Râu,có người nói tôi ăn không ngồi rỗi áo quần lôi thôi tóc tai thì rối cứ kệ thôi có người bảo tôi đêm chơi ngày ngủ sống chẳng giống ai nhạc nghe thì chối cứ kệ thôi biết sao cho vừa người ta cứ nói biết sao cho vừa người ta cứ nói sống sao cho vừa ối a thiên hạ nói chi mặc kệ nói chi mặc kệ cứ bỏ ngoài tai ối a thiên hạ biết đâu mà lần biết đâu mà lần miệng của người ta người ta cứ nói miệng của người ta lời ra không khói khóe mắt lại cay đáy biển thì sâu lòng ai khó đoán miệng thì nam mô bụng thì một bồ một bồ dao găm biết sao cho vừa người ta cứ nói biết sao cho vừa người ta cứ nói sống sao cho vừa ối a thiên hạ nói chi mặc kệ nói chi mặc kệ cứ bỏ ngoài tai ối a thiên hạ biết đâu mà lần biết đâu mà lần ngày qua ngày ta bỗng dưng xa lạ chỉ riêng mình ta sống sao cho vừa lòng tachỉ ta chỉ riêng mình ta bỗng dưng xa lạ ngày qua ngày ta sống sao cho vừa lòng tachỉ tavà ta ối a thiên hạ nói chi mặc kệ nói chi mặc kệ để mà sống lâu ối a thiên hạ biết đâu mà lần biết đâu mà lần,rock-viet
Là Tất Cả,Đá Số Tới,trời nhiều mưa nhà em sao quá xa từ quận 12 qua tới tân bình đường thì trơn lắm nhưng mà vì em anh sẽ sẵn lòng để trao cho em 1 bài ca anh vừa viết ra anh đây tuy đàn không hay nhưng sẽ làm lòng em lung lay biết chưa người yêu ơi anh muốn có em trong cuộc đời này nhìn anh không cao nhà anh cấp 4 cũng hong có dào và nếu em muốn thì anh sẽ dâng cho em trái tim này là tất cả em là tất cả em là một giấc mơ anh mơ mỗi ngày em là cục tức trong anh yêu kiều đôi mắt đôi mắt long lanh sáng thức giấc anh muốn bên cạnh em là tất cả em là tất cả anh chờ ngày má em cho anh rước em dề nhà cùng ăn bánh xem phim anh nhìn đôi mắt lim ta nhìn nhau rồi xong môi chạm môi inamorata,rock-viet
Interlude: 9:00 Pm,The Cassette,,rock-viet
Anh Chỉ Muốn Bên Em Mà Thôi,Band Nhạc Không Chất Lượng,sao em lại xa đi rồi anh chỉ muốn yêu em nhiều hơn nhưng mà hôm nay em đã đi mất rồi anh chỉ muốn bên em thật lâu để được nắm đôi bàn tay em thật lâu anh chỉ muốn bên em dài hơn ai đã trao em chiếc hôn bao nhiêu nổi buồn sau đôi mắt này là những nổi buồn kia hay em đã thấy bóng aii anh gọi tên nổi đau hay yêu vài lời nói dối nhưng thật tâmchẳng nói ta có thể thấy nhau trong đầu son môi còn nhưng mà giờ em đi rồi anh mà viết em ở trong tâm hồn tình hình có thấy ở trong tâm tình và để rồi em bước ra đi khỏi cuộc đời anh sao em đi không 1 câu chối từ em ơi đi đâu mất rồi em ơi đau lắm này em ơi ta có thể cho nhau mối tình này thôi em ở đâu trong lòng mà thôi không nói cho anh nghe anh thật buồn đau lắm chứ không nói ai nghe 1 câu i love u bae nhưng không dành cho em nữa rồi anh chẳng muốn đến đây là xa nhau mất rồi em ơi kỉ niệm còn đâu hôm qua rồi xa nhau và hôm nay đã mất nhau em ơi đừng mang đi tình yêu của đôi ta mà anh cố nắm chặc bàn tay ấy em xa đi rôi,rock-viet
Ở Nhà Đêêê,The Flob, hiện chưa có lời bài hát nào cho ở nhà đêêê do ca sĩ the flob trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Mùa Đông Ở Lại,Bức Tường,tôi đi lang thang trong cơn mưa đầu mùa bâng khuâng suy tư mong em quay trở về lòng chớm lạnh mùa đông ở lại còn em rời xa mây trôi lang thang cho sương mai đọng lại đôi tay buông lơi miên man đêm thật dài ngồi nhớ về từng giây phút chỉ còn em và tôi ánh mắt như dần tan tiếng hát em khuất xa nỗi nhớ trong lòng anh ùa về mây trôi lang thang cho sương mai đọng lại đôi tay buông lơi miên man đêm thật dài ngồi nhớ về từng giây phút chỉ còn em và tôi nhớ môi em mọng căng tóc rối như gió qua hát khúc ca tặng em chorus bừng tỉnh cơn mộng du chẳng còn thấy xa mờ cơn mưa chợt tan biến đâu chợt nhìn thấy em cười mặt trời sáng trên bờ vai em trắng tinh khôi đến thế tôi đi lang thang trong cơn mưa đầu mùa bâng khuâng suy tư mong em quay trở về lòng chớm lạnh mùa đông ở lại còn em rời xa mây trôi lang thang cho sương mai đọng lại đôi tay buông lơi miên man đêm xa mãi ngồi nhớ về từng giây phút chỉ còn em và tôi nỗi nhớ trong lòng anh ùa về,rock-viet
Bình Yên,"Bức Tường, KraziNoyze",intro nhiều khi muốn chạy trốn nhiều khi muốn tan biến trong hư vô những ước mơ ngày mai lụi tàn bóng tối đang dần buông dù đời không như ý muốn nhìn xung quanh một thế giới vẫn bình yên cùng những ánh mắt hy vọng và khát khao rap 1 chân ta bước vào đời mang theo hoài bão những mộng ước cao vời nhưng thời gian khiến vật đổi sao dời dòng đời xô đẩy còn trụ lại được bao người đôi khi cô đơn thân xác còn đây nhưng thấy vô hồn gánh nặng trên vai âu lo đổ dồn nhọc sức khổ công sơ sẩy một chút là đổ bể đổ sông hy vọng rồi thất vọng khi ta biết lúa chín là lúa cúi đầu buông bỏ là cách để ta vơi cả núi sầu ghi danh sử sách thời gian cũng vùi sâu khó khăn là thử thách trốn tránh được bao lâu như con thuyền ra khơi xa đón nhận mọi giông tố cánh buồm căng lộng gió thì ngại gì con sóng vỗ phiêu bạt trùng khơi gia đình là bến đỗ chorus 1 bình yên ở đó khi cùng nhau bước chung con đường ngày tháng thời gian sẽ như ngừng trôi từng lời ca vút bay bình yên là khi con thuyền luôn vững đôi tay chèo xuôi ngược giữa bão dông cuộc đời cho những ước muốn bay đi xa rap 2 sau cơn bão táp sóng lặng gió yên nhưng trời yên biển lặng lại báo tin giông tố đến giữa đại dương bao la vô định không bờ bến dòng đời cuốn trôi đôi khi ta không ngờ đến lênh đênh lênh đênh ta lênh đênh giữa biển người tìm đâu thấy bình yên giữa sân si miệng đời đôi khi mỏi mệt đôi khi không vui đôi khi muốn về nhà đôi khi buông xuôi khúc nhạc đời ta lại ngân lên một nốt trầm trong câu hát yêu tự do sống kiếp sống không giam cầm hạnh phúc bình dị đôi khi tồn tại âm thầm khi đôi tay ôm lấy ta và bao dung mọi sai lầm cùng nhau nếm trải những đắng cay và chông gai qua sóng gió sau đêm dài cùng nhau đón nắng ban mai vẫn thoải mái với những gì ta có được ngày hôm nay chorus 2 bình yên ở đó khi cùng nhau bước chung con đường ngày tháng thời gian sẽ như ngừng trôi từng lời ca vút bay bình yên là khi con thuyền luôn vững đôi tay chèo xuôi ngược giữa bão dông cuộc đời cho những ước muốn bay đi xa chorus 3 bình yên là những tiếng cười sau bước chân mỏi mệt êm đềm bên tiếng ru ầu ơ lòng mẹ bao la đón con về bình yên là nơi sâu tận trong trái tim mỗi người sẻ chia tình yêu đến cho cuộc đời cho những ước muốn bay đi xa,rock-viet
Bài Funky Cho Em,The Meo,mỗi sáng mà quên dậy đi học thằng nào thèm yêu em chỉ có việc ăn để nói hoài thằng nào thèm yêu em mỗi tối mà quên phải đi làm người gì đâu lê thê thằng nào thèm yêu em thấy ghét tại thương mà nói hoài thằng nào thèm yêu em ghé sát vào tai em nói rằng sẽ mãi đi theo em chỉ mỗi việc ăn và lo học còn chuyện yêu để sau và rồi một mai sẽ tới em đừng lo anh vẫn đây mà chiều hay tối anh vẫn yêu em dài đến già ngày nào vác xe chạy qua kím em mà sao em vẫn xem tình mình ngu ngơ vậy là một mai ai tới và ôm em vào trong lòng người yêu mới em đừng tin em đừng hy vọng ngày mai chẳng có biết chuyện mình sẽ ra sao hay là thế nào thôi thì ngu ngơ vẫn có người thèm yêu em ô ô ô ô ô ô ô ô ô ô ô ô yeah yeah lắm lúc tôi nghe em nói rằng giờ còn ai yêu em cứ mãi cô đơn như thế sao giờ còn ai yêu em cứ hú là có người tới liền sợ gì đâu em ơii có trái tim luôn mãi dõi theo thật lòng tôi yêu em có lắm chong gai cũng chả sao thật lòng tôi yêu em đứng đó mà nghe tôi nói này em ơi tôi yêu emmmmmmmmmm và rồi một mai sẽ tới em đừng lo anh vẫn đây mà chiều hay tối anh vẫn yêu em dài đến già ngày nào vác xe chạy qua kím em mà sao em vẫn xem tình mình ngu ngơ vậy là một mai ai tới và ôm em vào trong lòng người yêu mới em đừng tin em đừng hy vọng ngày mai chẳng có biết chuyện mình sẽ ra sao hay là thế nào thôi thì ngu ngơ vẫn có người thèm yêu em ô ô ô ô ô ô ô ô ô ô ô ô yeah yeah và rồi một mai sẽ tới em đừng lo anh vẫn đây mà chiều hay tối anh vẫn yêu em dài đến già ngày nào vác xe chạy qua kím em mà sao em vẫn xem tình mình ngu ngơ vậy là một mai ai tới và ôm em vào trong lòng người yêu mới em đừng tin em đừng hy vọng ngày mai chẳng có biết chuyện mình sẽ ra sao hay là thế nào thôi thì ngu ngơ vẫn có người thèm yêu em ô ô ô ô ô ô ô ô ô ô ô ô ,rock-viet
Cà Lem Kem Chuối,Đá Số Tới,ngày đầu tiên anh qua nhà em tay cầm cây cà lem mà mắt em nhìn hơi thèm ngồi lên xe honda nhà anh anh đưa em ra hàng xanh trời ơi hôm nay tui có em rồi một mai khi anh bụng bia không một ai thèm tia chỉ có em ngồi nghía quài về bên anh em không còn lo anh nuôi em cho tròn vo tình yêu bao lâu anh ước ao từ ngày cuộc sống có em thiệt lòng vui sướng thường ngày dậy sớm đánh răng mặc quần áo chưa giặt nụ cười của em làm lòng này xốn xao nát tan anh chỉ muốn được cùng em đi tới mai mà không quan tâm điều gì đúng hay là sai dù nghe qua hơi điêu thiệt yêu anh em không thiệt đâu dù vẫn biết là đường dài thì nhiều chông gai mà không sao đâu khi đã có anh bên cạnh tình yêu này dành cho chỉ mình em mỗi em thôi em không có biết là anh đã yêu em nhiều như thế nào em không luyến tiếc chiều qua ngã tư em ngồi em ăn bánh giò ngày xưa em nói em rất là yêu anh cớ sao bây giờ quay mặt bỏ đi làm cho con tim anh rất là khó chịu vẫn yêu em nhiều như lúc ta còn thơ,rock-viet
